[   0.0 ->    7.9]  ...принадлежит рациональным числам в отрезке минус 1 метр, то есть это минус 1 метр, пересечение с рациональным числом.
[   9.5 ->   17.6]  И тогда получается, что каждое из этих множеств обоих, оно будет не пересекаться в предыдущем.
[  18.2 ->   19.6]  То есть если у нас есть...
[  19.6 ->   28.0]  Потому что мы добавили рациональный, да, там у нас пересечение с ху-2, оно должно быть равно с уставом на множество.
[  28.0 ->   44.4]  Вот, ну и само, сейчас, получается, если мы рассмотрим все такие множества, то их количество будет счетно, потому что мы сдвигали на рациональные точки.
[  45.1 ->   51.9]  И получается, если мы рассмотрим такое непересекающееся объединение по всем рациональным точкам,
[  51.9 ->   71.6]  то окажется, что оно вложено, в него, точнее, вложено отрезок 0.1, то есть оно полностью перекроет отрезок 0.1, вот.
[  72.3 ->   73.8]  Но это тоже надо доказать, доказывать или нет?
[  74.0 ->   75.3]  Ну, нет, просто идти.
[  75.3 ->   76.3]  Вот, ну, это...
[  76.9 ->   81.9]  Короче, это тоже несложно доказывать, если мы отсюда точку X берем, она обязательно попадет в какой-то вот из таких вот множеств.
[  81.9 ->   87.0]  Ну, и очевидным образом, куда мы можем попасть максимум?
[  87.0 ->   92.5]  Мы можем вот эту точку сдвинуть на самое маленькое рациональное число зашпотрезком минус 1.
[  93.1 ->   98.4]  То есть попадем в минус 1 правильно, а точку 1 сдвигаем на самое большое, и в 2 попадаем.
[  98.9 ->   99.4]  Справедливо?
[ 100.5 ->  101.6]  Красивая, да, справедливо.
[1775.1 -> 1786.6]  Для любого С, прообраз минус бесконечность С, измерим.
[1786.8 -> 1787.6]  И восьмое.
[1788.8 -> 1796.2]  Для любого С, прообраз минус бесконечность С, не включая, тоже измерим.
[1796.2 -> 1797.7]  Нам это все доказывает?
[1798.0 -> 1798.1]  Да.
[1798.4 -> 1800.6]  Ну, оно по-другому доказывается, как понимаете.
[1801.0 -> 1801.6]  Доказательства.
[1801.6 -> 1803.6]  Ну, точно так же, как в прошлом полугодии.
[1804.0 -> 1808.5]  То есть, сейчас мы докажем, что первое из первого, второе, второе, третье и так далее,
[1808.6 -> 1810.1]  а потом из последнего первое.
[1812.4 -> 1814.3]  Давайте записать это все.
[1815.5 -> 1819.8]  Ну, на самом деле здесь перечислены всевозможные типы интервалов напрямую.
[1820.7 -> 1825.0]  То есть, получается, измеримость равносильно измеримость функции,
[1825.0 -> 1828.3]  а это, на самом деле, измеримость прообраза открытого интервала.
[1828.8 -> 1833.0]  Равносильно измеримости прообраза любого вообще типа интервала напрямую.
[1833.8 -> 1837.5]  Полу открытые, замкнутые, бесконечные вправо-влево,
[1837.6 -> 1840.7]  замкнутые, незамкнутые концы, то есть, всевозможные типы.
[1840.8 -> 1845.0]  Бывают ситуации, когда получается с прообразом открытого,
[1845.8 -> 1848.3]  ну, то есть, бесконечный интервал, легче работать, чем максимально.
[1848.3 -> 1849.0]  Естественно.
[1849.1 -> 1851.6]  Вот эти последние четыре пункта с ними проще,
[1851.6 -> 1854.9]  потому что здесь один параметр, а здесь два, уже как бы легче.
[1855.2 -> 1857.8]  И на практике, когда мы будем с такими функциями работать,
[1857.9 -> 1861.1]  мы будем рассматривать вот такого типа прообраза.
[1861.2 -> 1862.8]  От минус бесконечности до сэ.
[1863.0 -> 1863.9]  Можно еще раз?
[1863.9 -> 1865.4]  Что значит это эквивалентное?
[1865.5 -> 1867.3]  Это значит, что если два...
[1867.3 -> 1871.5]  То есть, если измерим вот такой прообраз,
[1871.7 -> 1875.1]  то измерим и такой, и наоборот, ну, в конечном итоге.
[1875.1 -> 1879.3]  И вот в любой паре вот эти множества измеримы один одновременно.
[1880.2 -> 1883.8]  А это не будет какую-то цепочку организовывать?
[1884.2 -> 1887.6]  Вот. Если два, тогда и только тогда, когда три,
[1887.8 -> 1890.2]  а это значит тогда, когда четыре.
[1890.2 -> 1892.9]  Нет, но мы докажем сейчас и по стандартной схеме,
[1893.0 -> 1896.3]  что отсюда сюда, отсюда сюда, отсюда сюда,
[1896.5 -> 1898.8]  и потом докажем, что из восьмого первое.
[1899.4 -> 1901.5]  То есть мы не будем каждый раз равносильно с ним,
[1901.5 -> 1902.7]  мы будем только на одну сторону, да?
[1903.0 -> 1904.7]  То есть, по сути, это утверждение просто,
[1904.8 -> 1909.5]  если F измерима, тогда это тогда, когда любой промежуток измерим, правильно?
[1909.5 -> 1911.8]  Ну, да, тут надо сказать, что это промежуток.
[1911.9 -> 1912.9]  Ну, правда.
[1912.9 -> 1914.7]  То есть здесь перечислены все типы,
[1915.0 -> 1917.1]  но и поскольку это требует доказательства,
[1917.2 -> 1921.1]  то либо нужно любой промежуток выражать через исходный, открытый,
[1921.2 -> 1923.4]  либо можно по цепочке их друг перед другом.
[1924.0 -> 1926.6]  Так, давайте первое из первого второе запишем.
[1927.7 -> 1929.9]  Дальше я уже по-моему скажу.
[1930.2 -> 1931.6]  Итак, из первого второго.
[1931.7 -> 1935.8]  Мы знаем, что измерим прообраз любого интервала.
[1935.8 -> 1941.3]  Так вот, множество с полуоткрытым левым,
[1941.5 -> 1944.3]  с открытым левым концом, с замкнутым правым,
[1944.4 -> 1948.7]  можно представить в виде вот таких множеств.
[1949.5 -> 1951.1]  Только нужно придумать, что взять,
[1951.2 -> 1952.7]  объединение или пересечение,
[1952.9 -> 1954.9]  чтобы в итоге у нас получалось вот такое.
[1955.3 -> 1957.7]  Вот я возьму пересечение множеств
[1957.7 -> 1960.5]  А, В плюс один на Н.
[1961.0 -> 1964.0]  Открытый интервал Н от одного до бесконечного.
[1964.0 -> 1967.8]  Верно будет пересечение такое?
[1968.5 -> 1969.1]  Верно.
[1970.2 -> 1975.1]  Ну а теперь заметим, что прообраз вот этого интервала,
[1975.5 -> 1979.2]  А, В, прообраз такого,
[1979.3 -> 1985.4]  он будет совпадать с пересечением прообраза
[1985.4 -> 1989.3]  А, В плюс один на Н.
[1990.3 -> 1993.6]  Ну это требует доказательства через операции,
[1993.9 -> 1995.6]  насколько это и то, и то множество,
[1995.7 -> 1998.8]  то нужно вообще говоря объяснить, почему это так.
[2000.2 -> 2005.5]  Ну если мы берем элемент из прообраза здесь,
[2005.5 -> 2016.6]  то это означает, что Ф от Х принадлежит интервалу А, В.
[2017.1 -> 2019.7]  Вот если Х лежит вот в этом множестве,
[2019.8 -> 2022.2]  то значит Ф от Х лежит в А, В.
[2022.7 -> 2025.3]  Но А, В мы представили как пересечение.
[2025.3 -> 2032.7]  Следовательно, Ф от Х принадлежит любому из этих множеств.
[2032.8 -> 2034.6]  Раз принадлежит пересечению,
[2035.3 -> 2037.2]  В плюс единица на Н,
[2038.2 -> 2043.0]  значит, Ф от Х принадлежит любому из этих множеств.
[2043.3 -> 2046.5]  В плюс один на Н для любого Н.
[2046.5 -> 2051.7]  А, следовательно, Х принадлежит каждому прообразу такого интервала.
[2056.4 -> 2059.4]  То есть принадлежит пересечению прообразов.
[2062.1 -> 2063.6]  Ну и обратно аналогично.
[2063.7 -> 2066.2]  Если принадлежит пересечению прообразов,
[2066.8 -> 2068.1]  значит, не туда пришел.
[2068.3 -> 2070.9]  Нет, я не оставлял тут пропуск в общежитии.
[2071.3 -> 2074.7]  Ну не знаю, посмотри, ничего так прям сразу не видно.
[2074.9 -> 2076.1]  На полу, может, где упал.
[2077.1 -> 2079.4]  Значит, дальше, если лежит здесь,
[2079.6 -> 2081.7]  то значит лежит в каждом прообразе,
[2081.7 -> 2085.2]  а значит, Ф от Х лежит в каждом таком интервале,
[2085.3 -> 2086.4]  лежит в пересечении,
[2086.5 -> 2088.3]  а пересечение совпадает с обрезком.
[2088.5 -> 2091.1]  Ну то есть в обе стороны все это доказывается.
[2091.8 -> 2095.5]  И тогда получается, что если у нас первая Ф измерима,
[2095.6 -> 2097.6]  то есть любой такой прообраз измерим,
[2098.0 -> 2102.1]  то вот этот прообраз измерим по условию,
[2102.7 -> 2105.8]  а счетное пересечение измеримых,
[2105.9 -> 2108.2]  оно тоже будет измеримо ввиду свойств,
[2108.2 -> 2111.1]  в сигма-аддитивности и свойств измеримых.
[2111.7 -> 2114.0]  Свойств измеримых множеств.
[2115.1 -> 2121.4]  То есть мы говорили, что если у нас сигма-алгебра есть,
[2121.7 -> 2123.2]  сигма-кольцо, прошу прощения,
[2123.4 -> 2127.3]  где счетные все объединения принадлежат опять множеству,
[2127.5 -> 2130.0]  то счетные пересечения тоже будут там лежать.
[2130.5 -> 2133.5]  Так вот, счетное пересечение измеримых снова измеримо,
[2134.0 -> 2136.4]  значит, вот это множество у нас измеримо,
[2136.4 -> 2137.9]  что и требовалось доказать.
[2138.3 -> 2146.9]  Все остальные переходы, они базируются на таких равенствах между множествами.
[2147.9 -> 2151.2]  Вот эта идея с прообразами, она везде работает.
[2152.2 -> 2156.3]  Остается только подобрать правильное соотношение множества,
[2156.3 -> 2158.9]  чтобы мы получали из множества предыдущего типа,
[2159.4 -> 2160.9]  множество следующего типа.
[2160.9 -> 2166.7]  Ну, например, из 2 в 3 нам нужно получить замкнутый отрезок из таких,
[2166.9 -> 2168.2]  которые были в пункте 2.
[2169.2 -> 2172.2]  То есть отрезок АВ, как его представить,
[2172.3 -> 2175.9]  через множество вот такого типа с правым таким концом.
[2176.8 -> 2180.3]  Там получается просто плюс 1 на n,
[2180.4 -> 2181.9]  это будет...
[2182.7 -> 2184.8]  Ну, правый конец вообще можем оставить,
[2184.8 -> 2191.8]  здесь взять А плюс 1 на n и эти множества объединить.
[2193.3 -> 2193.4]  Да?
[2193.9 -> 2196.5]  Туда справа будем сбегаться, нет, или пересекаться.
[2197.0 -> 2197.7]  Пересекаться.
[2197.8 -> 2198.3]  Пересекаться.
[2198.7 -> 2200.1]  Да, туда будет самое...
[2200.1 -> 2201.4]  Туда нужно минус.
[2201.9 -> 2204.4]  Мне нужно замкнуть тот конец,
[2204.5 -> 2209.5]  поэтому да, вот здесь будет пересечение вот таких множеств.
[2209.7 -> 2211.5]  То есть в B остается А,
[2211.5 -> 2215.2]  и вот сюда мы отступаем, постепенно подтягиваясь к А.
[2215.2 -> 2225.6]  Течение n от единицы до бесконечности.
[2226.2 -> 2229.0]  А минус 1 на n до B.
[2231.3 -> 2234.5]  И тогда через опять же такое же соотношение прообразов
[2234.5 -> 2235.8]  все будет получаться.
[2236.7 -> 2237.7]  Из 3 в 4
[2237.7 -> 2243.8]  там у нас получается множество,
[2244.3 -> 2247.5]  которое справа открыто, слева замкнуто.
[2249.1 -> 2251.1]  Справа открыто, слева замкнуто.
[2251.1 -> 2253.3]  Ну, можно просто сделать это разностью.
[2254.1 -> 2256.0]  То есть множество А, Б.
[2257.4 -> 2260.4]  Это есть разность множества А, Б.
[2261.6 -> 2263.2]  Минус множество...
[2264.1 -> 2264.7]  Нет, А.
[2265.4 -> 2266.0]  Сейчас.
[2267.4 -> 2269.5]  Взять А, С и вычесть.
[2269.7 -> 2273.9]  Вот здесь А, Б.
[2274.1 -> 2275.1]  И вот здесь С.
[2275.4 -> 2276.6]  И вычесть В, С.
[2278.7 -> 2279.8]  И останется А, Б.
[2279.8 -> 2285.0]  Опять, для такого набора множеств и операций
[2285.0 -> 2287.8]  можно доказать равенство прообразов.
[2287.9 -> 2289.6]  То есть прообраз этого множества
[2289.6 -> 2291.9]  будет разностью прообразов этих.
[2292.5 -> 2293.8]  И тогда получается,
[2294.0 -> 2295.8]  из 3 будет 4.
[2297.5 -> 2299.5]  Из 4 5.
[2300.1 -> 2305.7]  4 получаем 5.
[2306.4 -> 2306.8]  Что тут?
[2306.8 -> 2310.7]  Нам получается было такое полуоткрытое,
[2310.7 -> 2313.8]  нужное замкнутое полностью до бесконечности.
[2314.8 -> 2316.1]  Но это дополнение.
[2317.4 -> 2318.8]  То есть можно взять...
[2318.8 -> 2322.4]  Нам нужно получить С плюс бесконечность.
[2322.5 -> 2338.8]  Это будет Р объединение СН.
[2338.8 -> 2342.2]  Вот такие предыдущие у нас было открыть.
[2342.2 -> 2343.0]  Можно вот так.
[2345.1 -> 2347.6]  От С до Н, и Н устремить бесконечности.
[2348.1 -> 2349.3]  Счетное объединение.
[2349.5 -> 2350.5]  Опять все работает.
[2351.5 -> 2352.7]  Из 5 в 6.
[2355.7 -> 2356.5]  Так, 6-ое.
[2356.6 -> 2359.7]  Это открытый левый.
[2362.2 -> 2364.0]  С плюс бесконечность.
[2364.2 -> 2364.5]  Есть.
[2366.1 -> 2368.1]  Там нужно что нам...
[2369.6 -> 2370.9]  Мы уже так делали.
[2370.9 -> 2375.6]  Из замкнутой скопки делали открытие вот таким способом.
[2376.8 -> 2377.2]  С.
[2377.2 -> 2378.9]  С1 на Н.
[2380.4 -> 2381.4]  А, нам наоборот.
[2381.5 -> 2385.5]  Из открытой замкнутой скопки.
[2385.7 -> 2387.2]  С открытой 2 на Н.
[2388.7 -> 2390.9]  До бесконечности.
[2391.8 -> 2393.1]  И это мы что?
[2393.6 -> 2394.5]  Объединяем.
[2395.8 -> 2396.8]  Объединение.
[2397.5 -> 2399.6]  И она объединится до бесконечности.
[2399.6 -> 2401.4]  Значит, у нас есть С.
[2401.4 -> 2404.4]  Мы берем С плюс 1 на Н.
[2404.6 -> 2407.4]  И постепенно вот сюда, к этой точке, подходим.
[2410.8 -> 2411.2]  Так.
[2411.9 -> 2413.0]  Из 6-7.
[2416.8 -> 2419.2]  Из 6-7 это разность предыдущих.
[2420.8 -> 2423.4]  Минус бесконечность С включено.
[2424.1 -> 2425.1]  Это есть С.
[2426.1 -> 2428.0]  Минус предыдущие.
[2428.0 -> 2432.3]  С плюс бесконечности.
[2432.3 -> 2433.6]  И наконец последнее.
[2433.8 -> 2434.5]  С7-8.
[2437.9 -> 2440.9]  Из вот таких сделает открытое справа.
[2442.4 -> 2445.0]  От минус бесконечности до С.
[2445.2 -> 2446.3]  Это будет...
[2447.3 -> 2450.5]  Значит, берем от минус бесконечности до С.
[2451.1 -> 2454.5]  Минус 1 на Н.
[2454.5 -> 2469.2]  Сейчас это какой случай?
[2469.7 -> 2471.4]  А, это С-7-8.
[2471.9 -> 2472.1]  Да.
[2473.1 -> 2475.4]  И последний остался из 8 в 1.
[2477.7 -> 2480.9]  Еще у нас из 8 в 1.
[2481.2 -> 2486.2]  Нам нужно теперь из новых видов вот таких получить интервал.
[2486.2 -> 2487.1]  А, В.
[2487.6 -> 2490.7]  А, В.
[2490.9 -> 2493.6]  То есть, я думаю, здесь А, здесь В.
[2494.4 -> 2496.5]  Мы знаем, что вот эти открыты.
[2496.7 -> 2498.8]  Точнее, предыдущие множества открыты.
[2499.4 -> 2503.3]  Ну и можно представить, как минус бесконечности.
[2504.7 -> 2505.1]  В.
[2506.3 -> 2507.0]  Вычесть.
[2507.9 -> 2509.9]  То есть я возьму вот это множество.
[2511.0 -> 2512.6]  И вычту вот это.
[2514.9 -> 2515.8]  И вычту.
[2515.8 -> 2520.2]  Только мне нужно представить там замкнутое через открытое.
[2520.8 -> 2521.0]  Так.
[2521.5 -> 2523.0]  Давайте я напишу, что будет.
[2523.3 -> 2525.0]  Будет вот такое пересечение.
[2527.3 -> 2530.3]  Пересечение N от единицы до бесконечности.
[2530.4 -> 2533.8]  От минус бесконечности до А плюс 1 на Н.
[2533.9 -> 2534.1]  Все.
[2534.8 -> 2537.9]  Ну и вот из этих соотношений множеств будет следовать тогда,
[2538.1 -> 2543.1]  что все это верно.
[2543.2 -> 2546.8]  И для доказательства изменимости можно рассматривать любой прообраз.
[2548.8 -> 2549.1]  Так.
[2549.1 -> 2568.4]  Дальше свойства измеримых функций.
[2569.6 -> 2571.7]  Что мы можем о них еще сказать?
[2572.6 -> 2573.8]  Ну, это мы определили.
[2574.1 -> 2577.3]  И дали некоторые эквивалентные понятия для определения.
[2577.5 -> 2580.0]  Теперь именно свойства измеримых функций.
[2580.0 -> 2601.8]  Если F за V измерима, и V есть измеримое под множество А,
[2603.4 -> 2605.8]  и V измеримое под множество А,
[2607.1 -> 2612.5]  то сужение F на V тоже измеримо.
[2616.8 -> 2618.0]  Моя функция.
[2618.0 -> 2622.0]  Ну, сужение означает, что мы уменьшаем область определения.
[2622.0 -> 2628.4]  То есть FB, она имеет область определения FB, значение VR.
[2628.9 -> 2636.4]  И для всех XFB сужение совпадает с F от X.
[2638.5 -> 2640.7]  Ну и поэтому, если мы говорим об изменимости,
[2640.9 -> 2643.9]  то нам нужно встроить прообразы для функций,
[2643.9 -> 2646.1]  которые являются сужением.
[2646.1 -> 2649.8]  Ну, для них тогда будет справедливо следующее.
[2651.0 -> 2655.0]  Вот если мы, например, возьмем промежуток от минус бесконечность УЗЦ,
[2655.3 -> 2657.9]  и возьмем прообраз для сужения.
[2658.2 -> 2663.1]  Прообраз для сужения.
[2663.1 -> 2670.6]  То, соответственно, можем рассмотреть множество B
[2670.6 -> 2675.3]  и пересечь это с прообразом для обычной функции F
[2675.3 -> 2677.3]  этого же множества.
[2679.2 -> 2681.1]  Ну, а поскольку у нас F измеримо,
[2681.2 -> 2682.9]  вот это множество измеримо,
[2683.9 -> 2686.0]  а B по условию измеримо.
[2686.3 -> 2689.1]  Пересечение двух измеримых и минимых.
[2689.1 -> 2692.0]  Другим их смыслов.
[2694.6 -> 2697.2]  Далее, следующее свойство.
[2700.4 -> 2701.4]  Это же свойство, да?
[2701.4 -> 2702.4]  Да, это свойство.
[2703.1 -> 2712.8]  Если множество А,
[2716.8 -> 2721.3]  есть счетное объединение измеримых множеств
[2721.3 -> 2726.2]  до бесконечности, до n, там, в общем, работает.
[2727.4 -> 2731.7]  И F измеримо на каждом ажитом,
[2732.8 -> 2735.1]  то F измеримо и на А.
[2735.5 -> 2743.0]  Если F представлено в виде объединения измеримых множеств,
[2743.4 -> 2745.4]  и F измеримо на каждом ажитом,
[2745.4 -> 2747.0]  то оно измеримо и на А.
[2747.4 -> 2761.1]  Далее.
[2764.4 -> 2765.9]  Мы не будем доказывать это?
[2766.0 -> 2766.4]  Нет.
[2766.6 -> 2769.9]  Сейчас я перечислю без доказательств набор свойств.
[2770.4 -> 2772.1]  Они несложно доказываются.
[2772.4 -> 2774.2]  Надо опять через прообразы работать.
[2774.4 -> 2775.6]  То есть, если у нас, допустим,
[2775.7 -> 2778.8]  нам нужен прообраз для множества А,
[2778.8 -> 2780.7]  то его можно составить из прообразов
[2780.7 -> 2782.0]  отдельных множествожит.
[2783.5 -> 2784.1]  Далее.
[2784.1 -> 2788.4]  Если F и G измеримы, определены на одном и том же множестве,
[2788.6 -> 2789.8]  и обе измеримы,
[2791.2 -> 2794.7]  то тогда αA измеримо,
[2794.7 -> 2798.4]  это вообще не альфа, F.
[2799.2 -> 2801.4]  F плюс G измеримо.
[2804.1 -> 2805.7]  F умножить на G.
[2805.9 -> 2807.5]  И F разделить на G.
[2808.0 -> 2810.2]  Ну, для случая, что G не равно нулю.
[2810.4 -> 2812.5]  Все эти функции измеримы.
[2812.5 -> 2816.8]  То есть, обычные операции над функциями,
[2816.9 -> 2818.1]  множение на константу,
[2818.2 -> 2820.3]  сложение, перемножение и деление
[2820.3 -> 2825.3]  при соответствующем условии неравенства нулю,
[2825.8 -> 2828.0]  все они являются измеримыми.
[2835.9 -> 2836.7]  Четвертое.
[2836.7 -> 2850.2]  Если F непрерывно, а G измеримо,
[2850.7 -> 2856.3]  если F непрерывно, а G измеримо,
[2857.6 -> 2862.2]  то их композиция измерима.
[2862.7 -> 2869.7]  То их композиция измерима.
[2870.8 -> 2873.3]  Для доказательства алгебраических свойств
[2873.3 -> 2876.1]  справедливо сформулируем такое утверждение.
[2877.1 -> 2879.9]  Доказательства третьего и четвертого пункта.
[2879.9 -> 2882.9]  Для этого сформулируем такое утверждение.
[2889.8 -> 2890.4]  Гамма.
[2892.3 -> 2894.8]  Некоторое открытое подмножество R2.
[2895.3 -> 2899.9]  Пусть гамма.
[2900.1 -> 2902.6]  Некоторое открытое подмножество R2.
[2903.9 -> 2907.0]  И задана непрерывная функция
[2907.0 -> 2913.6]  двух переменных на этом открытом множестве.
[2914.0 -> 2918.0]  И задана непрерывная функция
[2918.0 -> 2920.0]  на этом открытом множестве
[2920.0 -> 2923.0]  со значениями только не в R2, а в R1.
[2924.2 -> 2925.4]  И она непрерывна.
[2928.9 -> 2938.5]  Пусть также F и G, действующие из A в R,
[2938.8 -> 2939.6]  измеримы.
[2944.4 -> 2949.7]  Тогда композиция F большое от F и G
[2949.7 -> 2952.8]  также измерима.
[2953.3 -> 2959.2]  Пусть F и G измеримы,
[2959.2 -> 2962.7]  тогда композиция функции F большое
[2962.7 -> 2965.3]  и функции F и G измерима.
[2975.9 -> 2978.1]  Итак, давайте это утверждение докажем,
[2978.2 -> 2980.7]  то я поясню, как из этого получить 3 и 4.
[2982.7 -> 2983.7]  Функция R.
[2983.7 -> 2988.6]  Итак, у нас есть функция, я обозначу ее H от X,
[2989.4 -> 2994.5]  равная F от F малая от X и G от X.
[2995.2 -> 2997.1]  И по условию F большое,
[2997.3 -> 3000.1]  как функция двух независимых переменных,
[3000.8 -> 3002.5]  является непрерывной.
[3003.5 -> 3005.9]  Нам нужно доказать измеримость
[3005.9 -> 3007.9]  вот этой результирующей функции.
[3007.9 -> 3010.8]  Для этого нам нужно рассмотреть
[3010.8 -> 3012.5]  один из типов прообразов,
[3012.7 -> 3014.9]  то есть либо взять интервал с A и B,
[3015.1 -> 3016.4]  или какое-то множество,
[3016.6 -> 3020.7]  которое связано с одним параметром.
[3021.2 -> 3023.1]  Мы рассмотрим прообразы
[3023.1 -> 3027.2]  для промежутка от C до плюс бесконечности.
[3028.1 -> 3030.9]  H-1 для промежутка C плюс бесконечность
[3031.5 -> 3032.9]  для любого значения.
[3032.9 -> 3038.4]  Так, что это будет такое?
[3039.3 -> 3041.1]  Это множество таких X,
[3043.5 -> 3046.2]  для которых F большое
[3046.2 -> 3050.8]  от F от X и G от X
[3050.8 -> 3055.1]  должно попадать в промежуток,
[3055.2 -> 3057.0]  ну, то есть быть больше, чем C.
[3058.7 -> 3061.9]  Множество таких X из A большое,
[3062.7 -> 3065.5]  для которых будет вот такое верно.
[3065.5 -> 3072.3]  T и F изначально у нас
[3072.3 -> 3074.3]  она двух независимых переменных,
[3075.1 -> 3079.3]  поэтому рассмотрим такое множество.
[3080.4 -> 3082.7]  У меня функция на гамма определенная,
[3082.7 -> 3084.5]  вот я обозначу это гамма С.
[3085.5 -> 3088.0]  Это множество таких U и V,
[3089.3 -> 3091.1]  принадлежащих гаммах,
[3091.1 -> 3098.1]  для которых F большое от U и V
[3098.1 -> 3100.7]  будет больше, чем C.
[3101.0 -> 3103.2]  То есть это прообраз функции F
[3103.2 -> 3105.2]  как под множество R2.
[3108.7 -> 3111.1]  Это множество обозначается гамма С.
[3111.1 -> 3113.1]  В силу того,
[3114.4 -> 3116.8]  что у нас функция F непрерывна,
[3118.5 -> 3120.7]  а в целом и гамма открыта,
[3120.8 -> 3122.4]  и неравенство здесь нам дает,
[3122.6 -> 3124.4]  вот я не знаю, строгий случай,
[3124.9 -> 3126.6]  вот это множество гамма С
[3126.6 -> 3128.8]  будет являться открытым.
[3130.1 -> 3131.5]  Ну, у непрерывной функции
[3131.5 -> 3134.1]  прообраз любого открытого множества открыт.
[3134.6 -> 3135.4]  Так?
[3135.8 -> 3137.0]  Упространство непрерывной.
[3138.2 -> 3139.9]  То есть это множество открыт.
[3141.4 -> 3144.6]  Ну, мы в одномерном случае доказали такой факт,
[3144.7 -> 3146.0]  безумерными я не доказала,
[3146.1 -> 3148.6]  но на самом деле любое открытое множество
[3148.6 -> 3152.0]  может быть представлено в виде объединения
[3152.0 -> 3154.4]  не более, чем счетного числа
[3154.4 -> 3155.8]  открытых прямоугольников.
[3157.1 -> 3159.3]  То есть любое открытое множество
[3159.3 -> 3161.2]  можно представить не более,
[3161.6 -> 3163.1]  чем счетного объединения
[3163.1 -> 3166.8]  в виде открытых прямоугольников.
[3174.8 -> 3176.7]  Более чем счетного числа.
[3191.0 -> 3193.1]  То есть покрываем наш образ прямоугольников?
[3193.1 -> 3197.7]  Не просто покрываем, мы говорим, что между ними равенство.
[3198.1 -> 3201.0]  Идея такая же, как мы это делали в одномерном случае.
[3201.0 -> 3206.3]  Если мы возьмем какую-то точку, у нее здесь есть окрестности в виде прямоугольников,
[3206.4 -> 3211.9]  и мы можем выбрать максимальную окрестность открытую, которая входит в наше множество.
[3211.9 -> 3218.3]  Сказать опять, что у нас для любых двух соседних точек это либо совпадающие множества,
[3218.9 -> 3224.3]  либо не пересекающиеся, а значит в каждом таком максимальном прямоугольнике
[3224.3 -> 3228.0]  здесь не обязательно центр будет являться конкретно этой точкой.
[3228.0 -> 3229.3]  Главное, чтобы содержалось.
[3229.8 -> 3234.5]  Получается, в каждом таком прямоугольнике есть хотя бы одно рациональное число,
[3235.6 -> 3240.4]  а значит таких прямоугольников открытых не более чем счетно для открытого множества.
[3240.4 -> 3244.9]  Теперь, если мы вернемся вот сюда, то что нам нужно посчитать?
[3245.3 -> 3251.3]  Нам как раз и нужно, чтобы f от x, g от x оказалось больше, чем c.
[3251.3 -> 3259.3]  То есть вот это равенство означает, что f от x, g от x,
[3259.4 -> 3267.8]  то есть вот этот аргумент у и в сейчас, оказался бы во множестве гамма c.
[3267.8 -> 3271.7]  Но что значит f от x?
[3272.3 -> 3279.2]  Мы ищем такие иксы, чтобы вот эта пара оказалась в гамма от c,
[3279.7 -> 3283.6]  то есть оказалась бы в объединении таких прямоугольничков.
[3283.6 -> 3290.0]  c житое, d житое и объединение по g.
[3291.7 -> 3297.3]  То есть это означает, что f должно оказаться в первом множителе здесь,
[3297.4 -> 3299.6]  а g во втором, но только через объединение.
[3300.5 -> 3302.5]  Значит, таким образом получается,
[3302.5 -> 3306.7]  что множество всех таких x из а,
[3307.4 -> 3312.0]  для которых f от x больше, чем c,
[3312.9 -> 3316.8]  оно складывается как объединение следующих множеств.
[3316.8 -> 3320.9]  множество таких x из а,
[3321.6 -> 3327.9]  для которых f от x принадлежит а житое, b житое,
[3329.6 -> 3330.1]  вот так,
[3331.8 -> 3334.6]  и одновременно, то есть здесь пересечение,
[3335.3 -> 3338.3]  x принадлежит, точнее, x,
[3338.3 -> 3346.7]  а вторая компонента g от x принадлежит c житое, d житое.
[3347.7 -> 3351.0]  То есть g должно быть здесь, f здесь,
[3351.2 -> 3354.1]  и в целом такие искомые точки,
[3354.2 -> 3356.4]  они попадают вот в такое объединение.
[3356.9 -> 3358.8]  Но f и g у нас измеримы.
[3359.8 -> 3361.8]  Значит, это множество измеримых,
[3362.6 -> 3364.4]  это множество измеримых,
[3365.1 -> 3367.3]  пересечение измеримых измеримых,
[3367.3 -> 3372.3]  любое объединение измеримых измеримым.
[3373.4 -> 3377.1]  Следовательно, вот это множество является измеримым.
[3383.8 -> 3386.9]  Ну и вот из этого утверждения следуют все свойства,
[3387.0 -> 3389.3]  связанные с алгебраическими операциями.
[3389.9 -> 3392.4]  Например, для суммы двух измеримых
[3392.4 -> 3398.4]  мы возьмем функцию f от uv равная u плюс v.
[3399.4 -> 3401.5]  Она определена во всем r2,
[3402.0 -> 3404.0]  является там непрерывной,
[3404.0 -> 3406.3]  и как мы только что доказали,
[3406.8 -> 3411.6]  композиция этой непрерывной с любой парой измеримых будет измеримой.
[3413.5 -> 3415.9]  То есть это непрерывно,
[3416.6 -> 3418.5]  а сами f и g измеримы.
[3418.6 -> 3421.4]  Значит, получим, что композиция измерима,
[3421.5 -> 3422.5]  что и требовалось.
[3423.3 -> 3425.3]  То же самое с произведением.
[3425.3 -> 3431.3]  Мы рассмотрим функцию f от uv равную u умножить на v.
[3431.9 -> 3434.3]  Она определена в r2 непрерывно.
[3434.7 -> 3437.9]  Значит, по этому утверждению композиция измерима.
[3440.6 -> 3444.0]  Для частного f делить на g.
